[131.179.150.72:12664] at [2016-03-18 20:41:17]
1458362742439|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362742439|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362742455|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362743439|  [CIRCLE] | retrieving node of index 8
1458362743439|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362743439|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362744439|  [CIRCLE] | retrieving node of index 9
1458362744439|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362744440|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362745440|  [CIRCLE] | retrieving node of index 0
1458362745440|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362745440|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362745451|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362746440|  [CIRCLE] | retrieving node of index 1
1458362746440|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362746440|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362747440|  [CIRCLE] | retrieving node of index 2
1458362747440|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362747440|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362748411|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362748441|  [CIRCLE] | retrieving node of index 3
1458362748441|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362748441|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362749424|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362749441|  [CIRCLE] | retrieving node of index 4
1458362749441|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362749441|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362749455|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362749964|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362750038|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362750442|  [CIRCLE] | retrieving node of index 5
1458362750442|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362750442|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362750667|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362751442|  [CIRCLE] | retrieving node of index 6
1458362751442|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362751442|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362751771|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362752151|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362752442|  [CIRCLE] | retrieving node of index 7
1458362752442|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362752442|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362752493|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362753443|  [CIRCLE] | retrieving node of index 8
1458362753443|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362753443|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362754443|  [CIRCLE] | retrieving node of index 9
1458362754443|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362754443|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362755443|  [CIRCLE] | retrieving node of index 0
1458362755443|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362755443|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362755457|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362756443|  [CIRCLE] | retrieving node of index 1
1458362756444|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362756444|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362757444|  [CIRCLE] | retrieving node of index 2
1458362757444|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362757444|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362758415|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362758444|  [CIRCLE] | retrieving node of index 3
1458362758444|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362758444|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362759428|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362759445|  [CIRCLE] | retrieving node of index 4
1458362759445|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362759445|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362759465|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362759971|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362760047|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362760445|  [CIRCLE] | retrieving node of index 5
1458362760445|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362760445|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362760848|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362761445|  [CIRCLE] | retrieving node of index 6
1458362761445|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362761445|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362761823|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362762161|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362762445|  [CIRCLE] | retrieving node of index 7
1458362762446|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362762446|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362762521|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362763446|  [CIRCLE] | retrieving node of index 8
1458362763446|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362763446|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362764446|  [CIRCLE] | retrieving node of index 9
1458362764446|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362764446|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362765446|  [CIRCLE] | retrieving node of index 0
1458362765447|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362765447|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362765462|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362766447|  [CIRCLE] | retrieving node of index 1
1458362766447|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362766447|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362767447|  [CIRCLE] | retrieving node of index 2
1458362767447|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362767447|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362768419|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362768447|  [CIRCLE] | retrieving node of index 3
1458362768447|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362768448|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362769433|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362769448|  [CIRCLE] | retrieving node of index 4
1458362769448|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362769448|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362769471|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362769982|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362770060|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362770448|  [CIRCLE] | retrieving node of index 5
1458362770448|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362770448|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362771193|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362771448|  [CIRCLE] | retrieving node of index 6
1458362771448|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362771448|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362772113|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362772171|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362772449|  [CIRCLE] | retrieving node of index 7
1458362772449|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362772449|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362772560|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362773449|  [CIRCLE] | retrieving node of index 8
1458362773449|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362773449|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362774449|  [CIRCLE] | retrieving node of index 9
1458362774450|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362774450|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362775450|  [CIRCLE] | retrieving node of index 0
1458362775450|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362775450|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362775465|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362776450|  [CIRCLE] | retrieving node of index 1
1458362776450|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362776450|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362777450|  [CIRCLE] | retrieving node of index 2
1458362777451|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362777451|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362778422|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362778451|  [CIRCLE] | retrieving node of index 3
1458362778451|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362778451|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362779437|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362779451|  [CIRCLE] | retrieving node of index 4
1458362779451|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362779451|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362779475|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362779990|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362780124|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362780452|  [CIRCLE] | retrieving node of index 5
1458362780452|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362780452|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362781223|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362781452|  [CIRCLE] | retrieving node of index 6
1458362781452|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362781452|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362782319|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362782452|  [CIRCLE] | retrieving node of index 7
1458362782452|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362782452|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362782590|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362783453|  [CIRCLE] | retrieving node of index 8
1458362783453|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362783453|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362784453|  [CIRCLE] | retrieving node of index 9
1458362784453|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362784453|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362785453|  [CIRCLE] | retrieving node of index 0
1458362785453|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362785453|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362785471|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362786454|  [CIRCLE] | retrieving node of index 1
1458362786454|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362786454|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362787454|  [CIRCLE] | retrieving node of index 2
1458362787454|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362787454|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362788425|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362788454|  [CIRCLE] | retrieving node of index 3
1458362788455|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362788455|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362789440|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362789455|  [CIRCLE] | retrieving node of index 4
1458362789455|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362789455|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362789481|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362789995|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362790174|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362790455|  [CIRCLE] | retrieving node of index 5
1458362790455|  [CIRCLE] | retrieved node [128.223.8.112:12664]
